"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.001728958E0,-2.155997635E0,-3.262391993E0,-2.081579682E0,4.429954999E0
3.011698958E0,-2.253195900E0,-2.702341000E0,-2.460788428E0,4.293602023E0
3.021667958E0,-2.252460028E0,-2.169989437E0,-2.702081968E0,4.133240532E0
3.031637958E0,-2.243483675E0,-1.554994497E0,-2.671503954E0,3.819445020E0
3.041606958E0,-2.175079730E0,-1.086372907E0,-2.460596055E0,3.459148865E0
3.051576958E0,-2.038733186E0,-8.192949003E-1,-2.176539488E0,3.092733626E0
3.061546958E0,-1.709036470E0,-6.047851163E-1,-1.746362171E0,2.517211061E0
3.071515958E0,-1.216578121E0,-3.561123902E-1,-1.224926775E0,1.762760325E0
3.081485958E0,-6.722818655E-1,-3.044469774E-2,-6.774543124E-1,9.549000637E-1
3.091454958E0,-2.440331067E-1,3.333947879E-1,-2.283951670E-2,4.137944965E-1
3.101424958E0,5.782954752E-2,7.229889196E-1,5.270555936E-1,8.965739418E-1
3.111393958E0,2.151196486E-1,1.098531607E0,8.909601295E-1,1.430684489E0
